split;label;text
train;0;_jhi
train;0;03 ist das genial die löwen unter monizalles ist besser als letzte saison niederlage auf niederlage gibts was schöneres
val;0;0g geimpft und genesen da wird ein schuh draus
train;0;1 2 mal wirgefühlte 867 mal ihrmerkst was
train;0;1 april 2012 diesportredaktion bekommt den pullitzerpreis weil die mitglieder des leserforums so intelligente beiträge schreiben
train;1;1 die mitte ist dann weiter rechts  2 die spd will ja auch weiter nach rechts 3 alle sozialorientierten hoffentlich bald exspdmitglieder könnten zusammen mit den linken oder gar innerhalb ein gegengewicht bilden
train;0;1 festgeldkonto über jahrzehnte aufgebaut  2 wer kann der kann  3 wir können
train;0;1 ich habe nicht von heute geredet heute ist zuwanderung natürlich zu 100 positiv und bringt keinerlei gefahr oder das problem der verdrängung der einheimischen mit sich 2 geschichte wiederholt sich nicht bis ins letzte detailin groben zügen durchaus 3 nicht jeder neue impuls war ein positiver das zu glauben ist blauäugig
train;0;1 jahr bleibts dahoam und kein ende in sicht nur zum arbeiten darf man raus und noch um lebensmittel zu kaufendsas ist das problem
train;0;1 sehr schön iwo abgekupfert 2 selber nutzer der tafel 3 evtl sogar ihk oder bäckerinnungsprüfer 4 pressesprecher der bäckerei 5 versucht selber dort ne ausbildungsstelle für sich oder freundeverwandte zu bekommen 6 keine geregelte arbeit bei der zeit  die sie hier im disqus auf etliche artikel verwenden mehr oder weniger ausführlich
train;0;1 upvoting  wow
train;0;10 millionäre wohnen doch schon gemeinschaftlich zusammen die teuren eigentumswohnungen von instone machen es möglich im schönhofviertel meist stehen die geldanlagen jedoch leer
val;0;10 mio  für so nen spieler raus zu hauen ist kompletter finanz unsinn
test;0;100  co trainer bei skripnik und dort 100  misserfolg und daher auch 100  erfolglos bei der u23 und in der folge auch 100  misserfolg bei den möchtegernprofis  ich werde weiter kassieren und die sich blamieren
train;0;100  filz wäre auch passend
train;0;100  pro jan delay
train;0;100  pro thomas schaaf  ab so 25092016
train;0;100  pro thomas schaaf als werdercheftrainer
train;0;100 ig   perfekt   danke für diese text
train;1;100 vollstaendig geimpft inzidenz 1056 stand 141121 punkt das kann natuerlich passieren wenn man noname firmen ranlaesst die noch kein einziges produkt auf den markt gebracht hat und nur durch notzulassungen wobei es da auch unregelmaessigkeiten gab natuerlich bei der betrugs und bestechungserfahrenen strafe 23 mrd strafe pfizer jetzt durch die regierung reich gemacht wurden moderna vor 2 jahren 17 mrd minus
train;0;100 zustimmung ich würde vs noch heute entlassen
test;0;1000  eichin raus aufs eis
train;0;1000 mal so viel viel alg
train;0;10000 leute reicht da glaub nicht
train;0;100zustimmung
train;0;1081  und 1082  löschen
train;0;10januar ich befürchte diese scheibchenweise verlängerung wird mind bis juli fortgeführt werden
train;0;10min später wurde es von einem tierschützer abgeknallt  bericht folgt
val;1;11  im neusten deutschlandtrend alles nazis hotte
train;0;11 fakt morgen 60 für werder
train;0;11 september 2013 veröffentlichung des buches  was er niemals geschrieben hat sondern hat schreiben lassen  zufall   oder kallkühl  9  11 ist doch echt ein geiler gangserstyl  ohne deutschland und seine gnaden volle ausländerpolitik würde es  anis mohamed youssef ferchichi gar nicht geben denn seine mutter hatte einen mann aus tunesien der rest ist bekannt so viel zum thema ohne uns geht nicht ohne euch auch nicht
train;0;12 x fast das gleiche foto wie langweilig
train;1;12000 schläge in seine schnauze das hätte der verdient
train;0;1342018 als mann wird von den medien zum verbergen der wahren identität seit 2015 eine person nichtdeutscher abstammung bezeichnet die männlichen geschlechts ist und eine straftat begangen hat quelle german volunteer
test;1;15  upvotings für den beitrag von magdebremer  null upvotings für deinen beitrag  es ist einfach zu erkennen für was für einen hirnlosen idioten du gehalten wirst  aber du gibst nicht auf und kämpfst weiter natürlich
train;0;15 bunte grüninnen immer wieder schön anzuschauen
train;0;15 grad erderwärmung ist längst erreich  ein t fehlt es heißt lichterkette nicht licherkette
train;0;15 millionen anhaltendes spttgelaechter von mourinho und frazil sowie 650000 wolltest du sagen oder  wat bekommt schalke denn so
