split;label;text
test;0;04 zu viel während sie dies schrieben sind bereits über 80000 menschen an corona gestorben
train;0;"1  da ihr nicht selber drauf kommt
es ist nicht angebracht possen zu reißen
wenn menschen ihre liebsten verlieren
zigtausende sterben 
elend am wasser in ihrer lunge langsam ertrinken
nur weil euch die decke auf den kopf fällt   gt 2

allesdichtmachen"
test;0;1 amp  wie soll eine masken gegen viren schützen wenn darauf steht schütz nicht vor viren      hier noch ne aktuelle metastudie da zu  beleg das die maske schütz warum gehen die zahlen hoch  da braucht man keine studie mehr die zahlen sprechen bände
train;0;1 bei dieser pandemie braucht man nur wissen über politik und medien 2 hobbypsycholge mit ferndiagnose toll weiter üben
train;0;1 das du es immer noch nicht verstanden hast das du das versuchstierchen bist da ist das problem es ist einer erkrankung der oberen atemwege amp  bei komplikationen kann das passieren    wenn sie hier laden wollen machen den rest mit
val;1;"1 der schwerste fehler der kanzlerschaft merkel nationale und internationale klimasabotage darunter fällt jede konferenz und jedes nationale wirken in ihrer lobbykratie
dann kommt sehr lange nix 
dann wie ein echo zu 1 sachen wie die rassistische dekadenz bez impfpatente"
train;0;"1 die sexuelle orientierung ist keine entscheidung
2 die regenbogenflagge inkludiert heterosexuelle du bist also mitgemeint keine sorge
3 was hat das jetzt mit der mutter gottes zu tun whataboutism"
val;0;"1 die wahrscheinlichkeit sich anzustecken ist durch die impfung weniger wahrscheinlich ergo ist auch eine übertragung weniger wahrscheinlich einfache logik
2 das ist einfach nicht richtig es gab keine notzulassung innerhalb der eu"
train;0;"1 folge grünkohl
2 folge grünkohl
3 folge grünkohl
4 folge grünkohl"
train;0;"1 herr maaßen trifft sich mit antisemiten und rassisten gt  hat halt ein geschmäckle
2 eine erwachsen frau göre zunennenlässt sie nicht wirklich in einem besseren licht dastehen
3 was soll der hashtag die
4 die göre rauswerfen wäre doch cancelculture oder"
val;0;"1 ich muss keinem menschen respekt zeigen dessen erste reaktion es ist dann wandere doch aus 
2 wenn du kopftuch mit extremismus gleich setzt dann bist du noch viel dümmer und ignoranter als ich so wie so schon gedacht habe kleiner typ markus lüfte man deine hohle birne"
train;0;1 ich verstehe nicht ganz warum bei dem thema rückgabe der rechte für geimpfte nicht die tatsache beachtet wird die  am dienstag ansprach und zwar der rückgang der igaantikörper nach 23 monaten es scheint doch so zu sein dass geimpfte spätestens nach diesem
train;0;1 ja schau schön artig auf die bunden bildchen von einem grasfleck 2020 um gottes willen informier dich nicht  der selbe sch wie bergamo särgen berge ende 2020 im osten amp  der michel springt noch ein 3tes mal drauf an wann willste endlich verstehen das man dich vera
train;0;1 je näher die bundestagswahl kommt umso heftiger wird man fr baerbock mit dreck bewerfen hat sie als junge frau vielleicht mal etwas dummes getan oder gesagt hat sie vielleicht die eine oder andere leiche im keller
train;0;"1 longcovid bei kindern ist noch seltener als ein tweet von ihnen der nicht substanzlos panik verbreitet

2 wir testen ja auch jetzt alle kinder 2 mal die woche was passiert da wohl mit der inzidenz bei kindern

mathe für anfänger"
train;0;1 mai in lippstadt danke heißt mehr gehalt dielinke dgb betriebundgewerkschaft
train;0;"1 mai und meine wohnung riecht heftig nach alkohol
wenn die vino flaschen eben alleine party machen und in den mai tanzen"
train;0;1 mai verbindet alle sozialisten von braun über grün bis rot  plus der schwarze block
train;0;1 mai wanderte ins internet aber polizeieinsatz in wien  tiroler tageszeitung online
test;1;"1 mai zahlreiche demos erwartet  flaschenwürfe gegen polizisten und pyrotechnik am vorabend   

oh je
da werden die bullen wieder mal weich gespült
ariel ultra"
test;0;"1 meinungsfreiheit ist nicht widerspruchsfreiheit 
2 nach der logik müssen sie unsere meinungen ebenfalls wertfrei tolerieren näch 
3 steht die regenbogenflagge für alle auch für heteros also auch für sie  da wird niemand diskriminiert"
train;1;"1 müssen polizeibeamte im einsatz keine maske tragen
2 bei den leerdenker idioten wurde vereinzelt genauso durchgegriffen das liegt daran das die querdenker meist einfach keine maske tragen und dort nur vereinzelte personen eskalieren"
train;0;"1 normalhetero zu sagen ist diskriminierend weil es alles andere als nicht normal abstuft was es nicht ist
2 wo werden hetero menschen diskriminiert sie werden in keiner weise eingeschränkt ihr leben zu leben wie es lgbtq mitglieder werden"
test;0;1 sekunde googlen und du findest dutzende artikel dass politiker über mehre rechte für geimpfte diskutieren wenn dir selbst das zu viel ist wünsche ich dir gute besserung
test;0;1 studien zur new york mutation zeigen dass biontech und moderna impfstoffe wahrscheinlich gegen fast alle bisherigen mutationen so wirken dass schwere verläufe abgewendet werden neutralisationsstudien in indien zeigen ähnliches für indische variante
train;0;"1 trotzdem muss man nicht 40 leute töten davon 13 kinder
2 schau einfach eine woche vorher was die israelische polizei bzw m
militär in der moschee gemacht hat"
val;0;1 was genau hat die aktion der künstler mit den 40000 impfdosen zu tun 2 nein da haben ein paar gutsituiert schauspieler mit blankem zynismus und querdenker sprech auf ihr eigenes unwohlsein hingewiesen kann man machen finden viele halt scheiße
train;0;"1 was hat das damit zu tun was sie gegen laschet abgelassen hat inwiefern wird das dadurch kein freispruch
2 wo bitteschön steht da dass das ihr großvater ist
3 ich dachte wir hätten die sippenhaft abgeschafft"
train;0;"1 was hat das mit kleinem ego zu tun
2 was hat das mit outen zu tun
3 was hat das mit diskriminierung zu tun"
test;0;1 was sie vom stapel lassen noch mehr wie wurde denn die diagnose gestellt2wurde  eine differential diagnose erstellt  alter vor erkrankungen  long covid lang blödsinn das ist wohl wahr es ist immer noch eine erkrankung der oberen atemwege
train;0;1 wenn die haupfigur von f4f bds artikel liked dann schon 2 wenn man klar hinter dem antisemitismus steht und hinterher rechtfertigt dann ist es wohl auch so 3 ja das ist er aber dennoch kein grund antisemitisch zu sein
train;0;1 wenn er gegen die regel demonstriert ist er genau so zu fixieren wie jeder andere bürger auchgleiche rechte und pflichten für alle 2sollte etwas beschädigt worden sein muss ein gericht entscheiden wer die schuld trägt ich bin kein jursit 3was hat das jetzt mit impf zutu
test;0;10 ab einer impfquote von 2530 wird die pandemie deutlich verlangsamt ab einer immunisierung von 7080 können wir die pandemie hinter uns lassen wann das ist und wie hoch der gesundheitliche preis ist den wir bis dahin zahlen wollen haben wir nun selbst in der hand
test;0;100 ich hoffe er schreibt es sich hinter seine schwurbelohren
train;0;100tig richtig
train;0;12 die bundestagsfraktion ist das aushängeschild der afd wen haben wir das zu verdanken frau weidel und herrn chrupalla
train;1;12 er hat seinen herren zu dienen denn er ist ein diener damit sichert er sich seine politische macht kein wunder im 21 jahrhundert politik zu machen ist einfach man muss israel voll unterstützen ohne zu kritisieren auch wenn sie kinder töten
train;0;12 für den jetzigen antifa kindergarten der sich antifa nennt hier auf dem video unten im anhang seht ihr was die alten eingefleischten antifanten von früher von euch halten die finden euch nur lächerlich und wollen mit euch  kindergarten nichts zu tun haben
train;0;12 mai stadtrat hat die wahl sachsenbadbleibtkommunal
train;0;12 mehrwertsteuer keine gez mehr steuerverschwenung wird strafbar gutes rentensystem und und und
train;0;"12
der markt regelt so lange bis die karre wieder hoffnungslos im dreck steckt dann muss der steuerzahler wieder mit milliarden aushelfen und die manager bekommen trotz misserfolg ihre vollen erfolgsboni verluste sozialisieren und gewinne"
train;0;14 tage demonstrationen in kolumbien zeigen dass die menschen so viele missbräuche verweigerungen und verletzungen ihrer rechte und missregierungen satt haben die menschen in kolumbien fordern würde und respekt für ihr leben
train;1;"1405  überall bullen lassen menschen nicht durch 

hh0105 erstermai werhatdergibt
dammtor"
train;0;15 ärzte  tierarzt apotheker pta gehören da auch dazu und psychiater  die intensivstationen in unserem landkreis sind voll über 40 covid19fälle  ich könnte
test;0;15 mai 2021 digitales jugendhearing jugend im lockdown  sozial und integrationsminister  hört zu und kommt mit jungen menschen ins gespräch programm  erfahrungsaustausch politische debatten und künstlerische workshops jetzt anmelden
train;0;15followergewinnertypen mucken auf
train;0;"164 stgb  falsche verdächtigung
einen link zu diesem gesetz finden sie hier"
train;0;"165 einhundertfünfundsechzig eine inzidenz von 165 als grenzwert ihr habt total den arsch offen 100 war mal schlimm dann die 50 die 35 sollte die neue 50 werden und nun 165 für schulen ich hasse euch ihr tragt unsere kinder und ihre angehörigen zu grabe
nocovid"
train;1;"17 tote im flüchtlingsboot 

die grünen u merkel locken solche leute nach europa

die grüne protestbewegung ist als partei politisch irre 

die grünen haben keine moral und keine logik

btw  nogrüne"
train;0;"17850 euro für vier vorträge lauterbach räumt fehler ein 
nebeneinkünfte geld politik  coronavirus"
train;0;180120 afdgruppen streiten sich weil ein papier ohne wissen der unterzeichnenden von rechtsradikalen verfasst wurde noafd
train;1;1815 jetzt brüllen die rechten faschistoiden verschwörungshetzer zusammen mit den nazis in ihren reihen an ihrer seite nazis raus einfach nur lächerlich marcus fuchs beginnt zu hetzen und quatschjura zu verbreiten fghtqrdnkn dd1005
val;0;18485 neuinfektionen und 284 weitere todesfälle mit dem coronavirus meldet das rki am freitagmorgen die inzidenz ist auf 1257 gesunken indien meldet neue höchstwerte
train;0;1987  tanzt hier angela merkel  sirtaki mit sed amp  fdj kadern wie egon k  via
train;0;"1a weil du jetzt gesund bist bedeutet das nicht dass das auch auf ewig so bleibt
1b um auch deine mitmenschen zu schützen ich weiß für individualisten und narzissten ist das schwer zu verstehen
2 die impfstoffe wurden von der ema nicht notzugelassen"
test;0;1du hast nach mehr als einem jahr pandemie nicht einmal die basics v forschung verstanden2 dir fehlt selbstvertrauen u damit kannst du niemanden vertrauen
train;0;"1mai  tagderarbeit

im videoblog tacheles stellt sich  der frage 
gibts keine arbeiter mehr  

abo videoblog tacheles  hier lang"
train;0;"1mai 
erst demonstriert die  antifa gegen die querdenken die sich gegen regierungsmaßnahmen einsetzt und nun findet die antifa die ausgangsperren blöde 

genau mein humor

hätte man da nicht gleich zusammen demonstrieren können"
train;0;1mio ehemalige r2g wähler sind das jetzt auch faschisten
train;0;"2   
     
 
die britische ist ja so schrecklich die ist durch amp  nu   da sind gutachten amp  was die maßnahmen bringen"
train;0;2  aufruf weltweit  dringend rücktritt von frau merkel  erforderlich
train;0;2 aber bei gt  60 jährigen war sterblichkeit sehr hoch wegen des durchschnittsalters in afrika von 18 j wird pandemie afrika wahrscheinlich sehr viel weniger hart treffen zu longcovid gibt es dort keine daten risiko aber mutationen machen sarscov ansteckender und tödlicher
test;0;2 aber nicht weinen wenn dann doch die natürliche auslese zu schlägt amp  diverse schwere nebenwirkungen eintreten    vertragen ne is klar  hats auch gut vertragen
train;0;2 antikörpermenge wie hier gemessen hat sich aber in der praxis als zuverlässiger indikator für den impfschutz erwiesen daher dürfte die kombination astrazeneca mit biontech in der schutzwirkung sehr stark sein die 2 impfung mit biontech geschah nach 812 wochen
val;0;2 bei meinem besuch auf der covid intensivstation 43i der  konnte ich mir gestern noch einmal ein bild davon machen wie aufwändig und schwer die ecmo behandlung ist über monate wird für das leben eines einzelnen gekämpft der jüngste patient war nur 29 j alt
train;1;2 dass keine maßnahmen verändert wurden sie werden dann weiter zum moralischen rundumschlag ausholen mir vorwerfen ich würde menschenleben riskieren meinen sommerurlaub wahrn wollen  vielleicht fliegen links und rechts noch ein paar querdenker oder schwurblerbegriffe rein
test;0;"2 dem bullshit von pandemie in ruhe lassen  nochmals ganz langsam der test weist keine infektion nach  
  so viele sind betroffen  
 es ist eine erkrankung der oberen atemwege warum sieht man hier weniger"
train;0;2 die 2 impfung nur biontech ausgewertet senkt symptome falls doch infiziert nochmal stark wichtig nach 1 impfung gt 3 wochen sind trotzdem infizierte viel weniger ansteckend dh sie können sich noch infizieren 13 noch symptome aber sehr viel weniger ansteckend heisst
val;0;2 die impfungen schützen besser als die durchgemachte infektion weil die immunantwort breiter ausfällt das würde auch die p1 katastrophe in manaus brasilien erklären astrazeneca impfstoff dürfte für die meisten varianten auch zumindest schwere fälle vermeiden
test;0;2 en 149 amp  en 14684  wie lange willste dir das noch schön schwätzen
